Title	Author	Description	Published At	URL
Former B.C. premier Christy Clark interested in replacing Trudeau if PM steps down		As Prime Minister Justin Trudeau faces a rebellion from his own MPs in caucus this week, former B.C. premier Christy Clark is suggesting she would be interested in replacing him, should Trudeau decide to step down.	2024-10-21T08:00:00Z	https://www.cbc.ca/news/politics/christy-clark-justin-trudeau-step-down-1.7357740
Here's what Liberal MPs are saying ahead of an expected push to oust Trudeau		As rumours swirl around Parliament Hill about efforts within the Liberal caucus to urge Justin Trudeau to resign as party leader, Liberal MPs are saying publicly that it's still an internal matter for the party.	2024-10-21T22:50:28Z	https://www.cbc.ca/news/politics/trudeau-liberal-party-leadership-1.7358839
Immigration minister calls efforts to oust Trudeau 'garbage'		"Immigration Minister Marc Miller today called efforts by disaffected Liberal MPs to oust Prime Minister Justin Trudeau ""garbage"" and said it would be better for the team to pull together to take on their main opponent: Conservative Leader Pierre Poilievre."	2024-10-22T16:03:03Z	https://www.cbc.ca/news/politics/oust-trudeau-caucus-meeting-1.7359464
Disgruntled Liberal MPs are expected to confront Trudeau at party caucus meeting today		As national polls suggest the Liberal Party is headed for defeat in the next election, some disaffected Liberal MPs are expected to take the mic today at their national caucus meeting to urge Prime Minister Justin Trudeau to call it quits.	2024-10-23T08:00:38Z	https://www.cbc.ca/news/politics/liberal-caucus-meeting-trudeau-future-1.7359883
How the internal push to force Trudeau to resign played out — and what might happen next		Internal calls for Prime Minister Justin Trudeau to resign as Liberal leader were aired out behind closed doors Wednesday as Liberal MPs met on Parliament Hill. Here’s what happened behind the scenes, what MPs said after the meeting and what could happen in t…	2024-10-23T21:24:31Z	https://www.cbc.ca/news/politics/what-happened-liberal-meeting-trudeau-leadership-1.7361018
Federal government expected to announce new immigration targets this week		The federal government is expected to announce changes to immigration targets Thursday morning, according to CBC News sources.	2024-10-23T17:34:06Z	https://www.cbc.ca/news/politics/immigration-changes-announcement-1.7360827
Parliament returns amid partisan wrangling, rumblings about Trudeau's leadership		The House of Commons returns today from a week-long break, but it's unlikely to be business as usual. Members of Parliament resumed an 11th day of debate on a Conservative demand for documents about federal spending on green technology projects.	2024-10-21T15:54:24Z	https://www.cbc.ca/news/politics/parliament-returns-trudeau-leadership-1.7358186
International trade minister urges Senate to speed up study of Bloc's supply management bill		The Liberals are urging the Senate to speed up its study of the Bloc Québécois's supply management trade bill as the government's window to meet the Bloc's ultimatum starts to close.	2024-10-22T17:13:20Z	https://www.cbc.ca/news/politics/international-trade-minister-bloc-quebecois-supply-management-bill-1.7359597
Voting to topple the government not out of the question, says Liberal MP Ken McDonald		A Liberal Newfoundland and Labrador MP who has signed a letter calling on Prime Minister Justin Trudeau to resign says going against the government on a non-confidence vote isn't out of the realm of possibility.	2024-10-23T18:57:02Z	https://www.cbc.ca/news/canada/newfoundland-labrador/mcdonald-trudeau-resign-letter-1.7360951
Inside the world of Lawrence Bishnoi, the Indian gangster Canada says India is using as a proxy		The murder of a Punjabi rapper, repeated death threats against a Bollywood star and the killing of a Mumbai-based politician — all are alleged to be the work of Indian gangster Lawrence Bishnoi. Now, the RCMP is claiming the Bishnoi gang is targeting members …	2024-10-21T15:09:12Z	https://www.cbc.ca/news/world/lawrence-bishnoi-india-killing-gangster-1.7358024
Ottawa remembers reservist killed in Parliament Hill attack one decade later		Ottawa marked the 10th anniversary of the terrorist attack on Parliament Hill Tuesday — but for the family of the reservist who was killed that day, the memory is still raw.	2024-10-22T18:15:21Z	https://www.cbc.ca/news/politics/ottawa-remembers-reservist-killed-parliament-hill-attack-1.7359704
'Take your time': Trans Mountain CEO says Ottawa shouldn't rush to sell pipeline		"Trans Mountain's new CEO is calling on the federal government to be a ""disciplined seller"" and to not rush to sell the newly twinned $34 billion pipeline."	2024-10-21T20:32:32Z	https://www.cbc.ca/news/politics/trans-mountain-pipeline-maki-1.7358534
Bloc Québécois says it will end House of Commons stalemate if Liberals meet demands		Bloc Québécois Leader Yves-François Blanchet says he's willing to end the stalemate in the House of Commons and get the government's business back on track if the Liberals make progress on the Bloc's demands.	2024-10-22T22:49:52Z	https://www.cbc.ca/news/politics/bloc-house-of-commons-stalemate-demands-1.7359849
The Sask. Party has had a solid rural base for 17 years. Could health care be a disruptive force? | CBC News	Janani Whitfield	Access to rural health care has been a political football thrown back and forth between the Saskatchewan Party and the NDP, which has served as the province's Official Opposition since the Sask. Party toppled it in 2007.	2024-10-23T12:15:34Z	https://www.cbc.ca/news/canada/saskatchewan/sask-party-rural-vote-health-care-1.7358211
Immigration minister calls attempt to oust PM 'passive-aggressive ... weak'		"Immigration Minister Marc Miller said efforts of Liberals to get the prime minister to step aside is ""the most passive-aggressive"" display of questioning leadership he has ever seen."	2024-10-18T20:16:27Z	https://www.cbc.ca/news/politics/miller-passive-aggressive-oust-trudeau-1.7356544
After a week of jaw-dropping accusations, the quaint world of 2015 seems far away		The remarkable revelations and accusations of the past week — from the expulsion of six Indian diplomats on Monday to the prime minister’s challenge to the Conservatives at the foreign interference inquiry on Wednesday — underline how the world has become a m…	2024-10-19T08:00:00Z	https://www.cbc.ca/news/politics/foreign-interference-trudeau-poilievre-india-1.7356434
Concerns of 'hateful racism' after Ontario man's video of woman ranting about people from India goes viral		In 2023, Waterloo region had the highest rate of police-reported hate crimes across Canada, according to Statistics Canada. Now, a video circulating on social media appears to show a woman speaking out against people from India, driving that new data across t…	2024-10-18T08:00:00Z	https://www.cbc.ca/news/canada/kitchener-waterloo/waterloo-video-racially-charged-comments-1.7354996
Why won't Trudeau release classified names — and why won't Poilievre get a security clearance?		Prime Minister Justin Trudeau made waves Wednesday by turning what started as an examination of his government’s response to foreign interference into a pointed criticism of Conservative Leader Pierre Poilievre.	2024-10-18T08:00:00Z	https://www.cbc.ca/news/politics/trudeau-release-names-poilievre-security-clearance-1.7355350
Defence minister announces nearly $65 million in aid for Ukraine		National Defence Minister Bill Blair says Canada is sending $64.8 million in military aid to Ukraine.	2024-10-18T17:37:11Z	https://www.cbc.ca/news/politics/military-aid-ukraine-1.7356287
Foreign affairs minister says remaining Indian diplomats are 'on notice'		After her government expelled a group of Indian diplomats following the RCMP's shocking public statement tying India's government to violent crimes in Canada, Foreign Affairs Minister Mélanie Joly is warning more than a dozen Indian diplomats still in the cou…	2024-10-18T21:03:09Z	https://www.cbc.ca/news/politics/foreign-affairs-warning-indian-diplomats-canada-1.7356519
